DocumentTitle,DocumentType,CustomerName,OrgName,CreatedDate,DocumentCategoryName,DocumentSubCategoryName,SubDocumentCategoryName
Kids cold Medicine,Kids cold Medicine,Thrishal,Akshaya Medicare,2/28/2017 1:24:36 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Mani,Akshaya Medicare,2/28/2017 1:22:09 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Mani,Akshaya Medicare,2/28/2017 1:11:06 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Mani,Akshaya Medicare,2/28/2017 1:04:43 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Mani,Akshaya Medicare,2/28/2017 12:58:21 AM,Generic medicins,Kids Medicine,Kids
Audults fever medicine,Audults fever medicine,Mani,Akshaya Medicare,2/28/2017 12:20:18 AM,Generic medicins,Adults Medicine,Fever for adults
Kids cold Medicine software,Kids cold Medicine software,Chiru,Akshaya Medicare,2/28/2017 12:17:55 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Thrishal,Akshaya Medicare,2/28/2017 12:17:04 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Thrishal,Akshaya Medicare,2/27/2017 5:56:17 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Chiru,Akshaya Medicare,2/24/2017 3:39:43 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Ameya,Akshaya Medicare,2/23/2017 5:28:09 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Ameya,Akshaya Medicare,2/22/2017 10:26:04 PM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Chiru,Akshaya Medicare,2/22/2017 10:25:09 PM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Chiru,Akshaya Medicare,2/22/2017 10:23:59 PM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Ameya,Akshaya Medicare,2/22/2017 10:22:39 PM,Generic medicins,Kids Medicine,Kids
Software,Software,Mani,Akshaya Medicare,2/22/2017 3:28:15 AM,Software,,
Software,Software,Chiru,Akshaya Medicare,2/22/2017 3:26:43 AM,Software,,
Software,Software,Ameya,Akshaya Medicare,2/22/2017 3:26:42 AM,Software,,
Software,Software,Thrishal,Akshaya Medicare,2/22/2017 3:26:42 AM,Software,,
Software,Software,Mani,Akshaya Medicare,2/22/2017 3:26:42 AM,Software,,
Software,Software,Ameya,Akshaya Medicare,2/22/2017 3:25:47 AM,Software,,
Kids cold Medicine,Kids cold Medicine,Thrishal,Akshaya Medicare,2/22/2017 3:07:31 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Thrishal,Akshaya Medicare,2/22/2017 3:05:14 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Thrishal,Akshaya Medicare,2/22/2017 3:04:38 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Chiru,Akshaya Medicare,2/22/2017 3:02:05 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Ameya,Akshaya Medicare,2/22/2017 3:02:05 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Thrishal,Akshaya Medicare,2/22/2017 3:02:05 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Mani,Akshaya Medicare,2/22/2017 3:02:04 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Chiru,Akshaya Medicare,2/22/2017 2:59:26 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Ameya,Akshaya Medicare,2/22/2017 2:59:25 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Thrishal,Akshaya Medicare,2/22/2017 2:59:25 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Mani,Akshaya Medicare,2/22/2017 2:59:25 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Chiru,Akshaya Medicare,2/22/2017 2:58:24 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Ameya,Akshaya Medicare,2/22/2017 2:56:53 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine,Kids cold Medicine,Ameya,Akshaya Medicare,2/22/2017 2:48:05 AM,Generic medicins,Kids Medicine,Kids
Medicine details,Medicine details,Thrishal,Akshaya Medicare,2/22/2017 12:54:17 AM,Generic medicins,,
Medicine details,Medicine details,Mani,Akshaya Medicare,2/22/2017 12:54:17 AM,Generic medicins,,
Medicine list,Medicine list,Thrishal,Akshaya Medicare,2/22/2017 12:15:41 PM,Generic medicins,,
Medicine list,Medicine list,Mani,Akshaya Medicare,2/22/2017 12:12:30 PM,Generic medicins,,
Medicine list,Medicine list,Chiru,Akshaya Medicare,2/22/2017 12:24:26 AM,Generic medicins,,
Medicine list,Medicine list,Ameya,Akshaya Medicare,2/22/2017 12:24:25 AM,Generic medicins,,
Medicine list,Medicine list,Thrishal,Akshaya Medicare,2/22/2017 12:24:25 AM,Generic medicins,,
Medicine list,Medicine list,Mani,Akshaya Medicare,2/22/2017 12:24:24 AM,Generic medicins,,
Kids Fever Medicine,Kids Fever Medicine,Chiru,Akshaya Medicare,2/21/2017 11:25:07 PM,Generic medicins,Kids Medicine,
Kids Fever Medicine,Kids Fever Medicine,Ameya,Akshaya Medicare,2/21/2017 11:25:07 PM,Generic medicins,Kids Medicine,
Kids Fever Medicine,Kids Fever Medicine,Thrishal,Akshaya Medicare,2/21/2017 11:25:06 PM,Generic medicins,Kids Medicine,
Kids Fever Medicine,Kids Fever Medicine,Mani,Akshaya Medicare,2/21/2017 11:25:06 PM,Generic medicins,Kids Medicine,
Kids Fever Medicine,Kids Fever Medicine,Mani,Akshaya Medicare,2/21/2017 11:24:26 PM,Generic medicins,Kids Medicine,
Medicine list,Medicine list,Mani,Akshaya Medicare,2/21/2017 10:45:47 PM,Generic medicins,,
Medicine details,Medicine details,Mani,Akshaya Medicare,2/21/2017 10:39:45 PM,Generic medicins,,
Medicine list,Medicine list,Mani,Akshaya Medicare,2/21/2017 10:38:18 PM,Generic medicins,,
Medicine list,Medicine list,Mani,Akshaya Medicare,2/21/2017 3:40:54 AM,Generic medicins,,
Medicine list,Medicine list,Mani,Akshaya Medicare,2/21/2017 3:38:51 AM,Generic medicins,,
